test_name,table_name,test_type,layer,run_date,mandate,column,total_score,rows_checked,passing_rows,failing_rows
,prices,missing,silver,2025-09-05,global_required,volume,0.816720202874049,59150,48309,10841
close <= low,prices,outside_of_rules,silver,2025-09-05,global_required,close,0.3415046491969569,59150,20200,38950
volumn too low (<10000),prices,outside_of_rules,silver,2025-09-05,global_required,volume,0.6517159763313609,59150,38549,20601
,prices,outdated,silver,2025-09-05,global_required,date,0.06515638207945901,59150,3854,55296
high < low,prices,outside_of_rules,silver,2025-09-05,global_required,high,0.0,59150,0,59150
,prices,missing,silver,2025-09-05,global_required,close,0.9806931530008454,59150,58008,1142
,prices,missing,silver,2025-09-05,global_required,high,0.9565173288250212,59150,56578,2572
,prices,missing,silver,2025-09-05,global_required,low,0.9565173288250212,59150,56578,2572
,prices,type_mismatch,silver,2025-09-05,global_required,close,1.0,59150,59150,0
,prices,type_mismatch,silver,2025-09-05,global_required,symbol,1.0,59150,59150,0
,prices,type_mismatch,silver,2025-09-05,global_required,volume,1.0,59150,59150,0
low > high,prices,outside_of_rules,silver,2025-09-05,global_required,low,0.0,59150,0,59150
,prices,missing,silver,2025-09-05,global_required,symbol,1.0,59150,59150,0
,prices,type_mismatch,silver,2025-09-05,global_required,low,1.0,59150,59150,0
,prices,type_mismatch,silver,2025-09-05,global_required,date,1.0,59150,59150,0
,prices,type_mismatch,silver,2025-09-05,global_required,high,1.0,59150,59150,0
,prices,missing,silver,2025-09-05,global_required,date,1.0,59150,59150,0
,prices,duplicated,silver,2025-09-05,global_required,symbol,0.03377852916314455,59150,1998,57152
,summary_profile,missing,silver,2025-09-05,local_required,BusinessSummary,0.4944944944944945,1998,988,1010
,prices,duplicated,silver,2025-09-05,global_required,date,6.76246830092984E-4,59150,40,59110
,summary_profile,missing,silver,2025-09-05,local_optional,industry,0.58008008008008,1998,1159,839
,summary_profile,missing,silver,2025-09-05,global_required,country,0.7252252252252253,1998,1449,549
,summary_profile,missing,silver,2025-09-05,local_optional,address2,0.3163163163163163,1998,632,1366
,summary_profile,missing,silver,2025-09-05,local_required,sector,0.5770770770770771,1998,1153,845
,summary_profile,missing,silver,2025-09-05,local_optional,address1,0.5205205205205206,1998,1040,958
,summary_profile,missing,silver,2025-09-05,global_required,loaded_at,1.0,1998,1998,0
,summary_profile,missing,silver,2025-09-05,global_required,state,0.456956956956957,1998,913,1085
,summary_profile,duplicated,silver,2025-09-05,global_required,symbol,1.0,1998,1998,0
,summary_profile,missing,silver,2025-09-05,global_required,zip,0.47847847847847846,1998,956,1042
,summary_profile,missing,silver,2025-09-05,global_required,city,0.5205205205205206,1998,1040,958
,summary_profile,missing,silver,2025-09-05,global_required,symbol,1.0,1998,1998,0
,prices,missing,silver,2025-09-06,global_required,volume,0.816720202874049,59150,48309,10841
volumn too low (<10000),prices,outside_of_rules,silver,2025-09-06,global_required,volume,0.6517159763313609,59150,38549,20601
close <= low,prices,outside_of_rules,silver,2025-09-06,global_required,close,0.3415046491969569,59150,20200,38950
,prices,missing,silver,2025-09-06,global_required,high,0.9565173288250212,59150,56578,2572
high < low,prices,outside_of_rules,silver,2025-09-06,global_required,high,0.0,59150,0,59150
,prices,missing,silver,2025-09-06,global_required,close,0.9806931530008454,59150,58008,1142
,prices,outdated,silver,2025-09-06,global_required,date,0.03218934911242603,59150,1904,57246
,prices,missing,silver,2025-09-06,global_required,low,0.9565173288250212,59150,56578,2572
,prices,type_mismatch,silver,2025-09-06,global_required,volume,1.0,59150,59150,0
low > high,prices,outside_of_rules,silver,2025-09-06,global_required,low,0.0,59150,0,59150
,prices,type_mismatch,silver,2025-09-06,global_required,close,1.0,59150,59150,0
,prices,type_mismatch,silver,2025-09-06,global_required,symbol,1.0,59150,59150,0
,prices,type_mismatch,silver,2025-09-06,global_required,high,1.0,59150,59150,0
,prices,type_mismatch,silver,2025-09-06,global_required,low,1.0,59150,59150,0
,prices,type_mismatch,silver,2025-09-06,global_required,date,1.0,59150,59150,0
,prices,missing,silver,2025-09-06,global_required,symbol,1.0,59150,59150,0
,prices,duplicated,silver,2025-09-06,global_required,date,6.76246830092984E-4,59150,40,59110
,prices,missing,silver,2025-09-06,global_required,date,1.0,59150,59150,0
,summary_profile,missing,silver,2025-09-06,local_required,BusinessSummary,0.4944944944944945,1998,988,1010
,prices,duplicated,silver,2025-09-06,global_required,symbol,0.03377852916314455,59150,1998,57152
,summary_profile,missing,silver,2025-09-06,local_optional,industry,0.58008008008008,1998,1159,839
,summary_profile,missing,silver,2025-09-06,local_required,sector,0.5770770770770771,1998,1153,845
,summary_profile,missing,silver,2025-09-06,global_required,country,0.7252252252252253,1998,1449,549
,summary_profile,missing,silver,2025-09-06,local_optional,address2,0.3163163163163163,1998,632,1366
,summary_profile,missing,silver,2025-09-06,local_optional,address1,0.5205205205205206,1998,1040,958
,summary_profile,duplicated,silver,2025-09-06,global_required,symbol,1.0,1998,1998,0
,summary_profile,missing,silver,2025-09-06,global_required,state,0.456956956956957,1998,913,1085
,summary_profile,missing,silver,2025-09-06,global_required,city,0.5205205205205206,1998,1040,958
,summary_profile,missing,silver,2025-09-06,global_required,loaded_at,1.0,1998,1998,0
,summary_profile,missing,silver,2025-09-06,global_required,zip,0.47847847847847846,1998,956,1042
,summary_profile,missing,silver,2025-09-06,global_required,symbol,1.0,1998,1998,0
close <= low,prices,outside_of_rules,silver,2025-09-07,global_required,close,0.3415046491969569,59150,20200,38950
,prices,missing,silver,2025-09-07,global_required,volume,0.816720202874049,59150,48309,10841
,prices,missing,silver,2025-09-07,global_required,high,0.9565173288250212,59150,56578,2572
volumn too low (<10000),prices,outside_of_rules,silver,2025-09-07,global_required,volume,0.6517159763313609,59150,38549,20601
,prices,missing,silver,2025-09-07,global_required,close,0.9806931530008454,59150,58008,1142
high < low,prices,outside_of_rules,silver,2025-09-07,global_required,high,0.0,59150,0,59150
,prices,missing,silver,2025-09-07,global_required,low,0.9565173288250212,59150,56578,2572
low > high,prices,outside_of_rules,silver,2025-09-07,global_required,low,0.0,59150,0,59150
,prices,type_mismatch,silver,2025-09-07,global_required,symbol,1.0,59150,59150,0
,prices,type_mismatch,silver,2025-09-07,global_required,close,1.0,59150,59150,0
,prices,type_mismatch,silver,2025-09-07,global_required,volume,1.0,59150,59150,0
,prices,type_mismatch,silver,2025-09-07,global_required,date,1.0,59150,59150,0
,prices,type_mismatch,silver,2025-09-07,global_required,low,1.0,59150,59150,0
,prices,type_mismatch,silver,2025-09-07,global_required,high,1.0,59150,59150,0
,prices,missing,silver,2025-09-07,global_required,symbol,1.0,59150,59150,0
,prices,outdated,silver,2025-09-07,global_required,date,0.0,59150,0,59150
,prices,missing,silver,2025-09-07,global_required,date,1.0,59150,59150,0
,summary_profile,missing,silver,2025-09-07,local_required,BusinessSummary,0.4944944944944945,1998,988,1010
,prices,duplicated,silver,2025-09-07,global_required,date,6.76246830092984E-4,59150,40,59110
,prices,duplicated,silver,2025-09-07,global_required,symbol,0.03377852916314455,59150,1998,57152
,summary_profile,missing,silver,2025-09-07,local_required,sector,0.5770770770770771,1998,1153,845
,summary_profile,missing,silver,2025-09-07,local_optional,industry,0.58008008008008,1998,1159,839
,summary_profile,missing,silver,2025-09-07,local_optional,address2,0.3163163163163163,1998,632,1366
,summary_profile,missing,silver,2025-09-07,local_optional,address1,0.5205205205205206,1998,1040,958
,summary_profile,missing,silver,2025-09-07,global_required,country,0.7252252252252253,1998,1449,549
,summary_profile,missing,silver,2025-09-07,global_required,city,0.5205205205205206,1998,1040,958
,summary_profile,duplicated,silver,2025-09-07,global_required,symbol,1.0,1998,1998,0
,summary_profile,missing,silver,2025-09-07,global_required,loaded_at,1.0,1998,1998,0
,summary_profile,missing,silver,2025-09-07,global_required,state,0.456956956956957,1998,913,1085
,summary_profile,missing,silver,2025-09-07,global_required,zip,0.47847847847847846,1998,956,1042
,summary_profile,missing,silver,2025-09-07,global_required,symbol,1.0,1998,1998,0
volumn too low (<10000),prices,outside_of_rules,silver,2025-09-08,global_required,volume,0.6517159763313609,59150,38549,20601
,prices,missing,silver,2025-09-08,global_required,high,0.9565173288250212,59150,56578,2572
,prices,missing,silver,2025-09-08,global_required,volume,0.816720202874049,59150,48309,10841
close <= low,prices,outside_of_rules,silver,2025-09-08,global_required,close,0.3415046491969569,59150,20200,38950
low > high,prices,outside_of_rules,silver,2025-09-08,global_required,low,0.0,59150,0,59150
,prices,missing,silver,2025-09-08,global_required,low,0.9565173288250212,59150,56578,2572
,prices,missing,silver,2025-09-08,global_required,close,0.9806931530008454,59150,58008,1142
high < low,prices,outside_of_rules,silver,2025-09-08,global_required,high,0.0,59150,0,59150
,prices,type_mismatch,silver,2025-09-08,global_required,symbol,1.0,59150,59150,0
,prices,type_mismatch,silver,2025-09-08,global_required,date,1.0,59150,59150,0
,prices,type_mismatch,silver,2025-09-08,global_required,close,1.0,59150,59150,0
,prices,type_mismatch,silver,2025-09-08,global_required,volume,1.0,59150,59150,0
,prices,outdated,silver,2025-09-08,global_required,date,0.0,59150,0,59150
,prices,missing,silver,2025-09-08,global_required,symbol,1.0,59150,59150,0
,prices,type_mismatch,silver,2025-09-08,global_required,high,1.0,59150,59150,0
,prices,type_mismatch,silver,2025-09-08,global_required,low,1.0,59150,59150,0
,prices,duplicated,silver,2025-09-08,global_required,date,6.76246830092984E-4,59150,40,59110
,summary_profile,missing,silver,2025-09-08,local_required,BusinessSummary,0.4944944944944945,1998,988,1010
,prices,duplicated,silver,2025-09-08,global_required,symbol,0.03377852916314455,59150,1998,57152
,prices,missing,silver,2025-09-08,global_required,date,1.0,59150,59150,0
,summary_profile,missing,silver,2025-09-08,local_optional,address1,0.5205205205205206,1998,1040,958
,summary_profile,missing,silver,2025-09-08,global_required,country,0.7252252252252253,1998,1449,549
,summary_profile,missing,silver,2025-09-08,local_required,sector,0.5770770770770771,1998,1153,845
,summary_profile,missing,silver,2025-09-08,local_optional,industry,0.58008008008008,1998,1159,839
,summary_profile,missing,silver,2025-09-08,local_optional,address2,0.3163163163163163,1998,632,1366
,summary_profile,missing,silver,2025-09-08,global_required,zip,0.47847847847847846,1998,956,1042
,summary_profile,duplicated,silver,2025-09-08,global_required,symbol,1.0,1998,1998,0
,summary_profile,missing,silver,2025-09-08,global_required,city,0.5205205205205206,1998,1040,958
,summary_profile,missing,silver,2025-09-08,global_required,loaded_at,1.0,1998,1998,0
,summary_profile,missing,silver,2025-09-08,global_required,state,0.456956956956957,1998,913,1085
,summary_profile,missing,silver,2025-09-08,global_required,symbol,1.0,1998,1998,0
,prices,outdated,silver,2025-09-09,global_required,date,0.21871535702641018,76675,16770,59905
close <= low,prices,outside_of_rules,silver,2025-09-09,global_required,close,0.3520313009455494,76675,26992,49683
,prices,missing,silver,2025-09-09,global_required,volume,0.8075252689925008,76675,61917,14758
volumn too low (<10000),prices,outside_of_rules,silver,2025-09-09,global_required,volume,0.6561069448972938,76675,50307,26368
