symbol,city,zip,state,industry,country,sector,address1,address2,BusinessSummary,loaded_at
LLFT11,null,null,null,,Brazil,null,null,null,null,2025-09-09
AMAR3,São Paulo,01138-909,SP,Apparel Retail,Brazil,Consumer Cyclical,"Rua James Holland, 422",Barra Funda,"Marisa Lojas S.A., together with its subsidiaries, engages in the retail of consumer goods in Brazil. The company sells clothing items for men, women, and children, as well as perfumery, cosmetics, and watches through physical stores and e-commerce. It also offers the Marisa credit card and Marisa-Itaucard Co-Branded credit card that provides credit for purchase of products, insurance, and payment of bills to its customers; and personal loans. The company also engages in the management of non-financial intangible assets, including brand management; purchase, sale, use, and licensing of trademarks and patents; receipt of royalties; and authorization for reproduction and use of trademarks and patents in processes and products. Marisa Lojas S.A. was founded in 1948 and is headquartered in São Paulo, Brazil.",2025-09-09
QQQQ11,null,null,null,,Brazil,null,null,null,null,2025-09-09
BSOX39,null,null,null,null,null,null,null,null,null,2025-09-09
GCRA11,null,null,null,,Brazil,null,null,null,null,2025-09-09
GZIT11,null,null,null,REIT - Specialty,Brazil,Real Estate,null,null,null,2025-09-09
CGRA4,Passo Fundo,99060-030,RS,Department Stores,Brazil,Consumer Cyclical,"Rua Valentin Grazziotin, 77",São Cristóvão,"Grazziotin S.A. engages in the retail and wholesale business in Brazil. The company's stores offer furniture, convenience store merchandise, home appliances, electronics, housewares, bed, bath and tableware, clothing and accessories, sporting goods, and perfumery, as well as cosmetics, foodstuffs, decoration, camping, hygiene, and cleaning products. It is involved in the cultivation and sale of woods; and provision of services related to financial institutions and insurance brokerage, as well as manages shopping centers. The company was founded in 1950 and is headquartered in Passo Fundo, Brazil. Grazziotin S.A. is a subsidiary of V.R. Grazziotin S/A Administração e Participações.",2025-09-09
FHER3,São Paulo,13148-906,SP,Agricultural Inputs,Brazil,Basic Materials,"Avenida Irene Karcher, nº 620",Betel - PaulInia,"Fertilizantes Heringer S.A. engages in the production and sale of fertilizers in Brazil. The company offers basic fertilizers, NPK formulas, and specialty fertilizers. It also offers various services, such as incentive programs for soil analysis, technical lectures for rural producers, field days, and pre-and post-sale support services, as well as specialized technical guidance. The company was founded in 1968 and is headquartered in São Paulo, Brazil. Fertilizantes Heringer S.A. operated as a subsidiary of Eurochem Comercio de Produtos Quimicos Ltda.",2025-09-09
VPPR11,São Paulo,04551-065,SP,REIT - Diversified,Brazil,Real Estate,Av. Chedid Jafet 75 - 30 Andar,null,null,2025-09-09
RNEW11,São Paulo,null,SP,Utilities - Renewable,Brazil,Utilities,"Av. Roque Petroni Junior, 850",14th floor Torre Jaceru Jardim das Acácias,"Renova Energia S.A. operates as a renewable energy generation company in Brazil. It generates electricity through wind, solar, and hydroelectric plants. The company was founded in 2001 and is based in São Paulo, Brazil.",2025-09-09
SNLG11,null,null,null,REIT - Diversified,Brazil,Real Estate,null,null,null,2025-09-09
AMER3,Rio De Janeiro,20081-902,RJ,Internet Retail,Brazil,Consumer Cyclical,Rua Sacadura Cabral 102,Parte,"Americanas S.A. operates in the e-commerce business in Brazil. It offers e-commerce digital platform for various digital solutions. The company operates Americanas.com, an online store with various products; Submarino, a digital brand in books, games, technology, and entertainment; Shoptime, an online brand in books, games, technology, and entertainment; Ame, a platform for financial and non-financial products and services; and Puket, an online clothing platform; MinD, an online design and home decoration platform. In addition, it provides imaginarium, a multi-brand e-commerce channels; Lovebrands, an online platform that offers various products and services; Skoob, a virtual library platform, as well as operates a retail chain of fruits and vegetables under Hortifruti Natural da Terra brand. Americanas S.A. was founded in 1999 and is headquartered in Rio de Janeiro, Brazil.",2025-09-09
H1OG34,Milwaukee,53208,WI,Recreational Vehicles,United States,Consumer Cyclical,3700 West Juneau Avenue,null,"Harley-Davidson, Inc. manufactures and sells motorcycles in the United States and internationally. The company operates in three segments: Harley-Davidson Motor Company, LiveWire, and Harley-Davidson Financial Services. The Harley-Davidson Motor Company segment designs, manufactures, and sells motorcycles, including cruiser, trike, touring, standard, sportbike, adventure, and dual sport, as well as motorcycle parts, accessories, and apparel, as well as licenses its trademarks and related services. This segment sells its products to retail customers through a network of independent dealers, as well as e-commerce channels. The LiveWire segment sells electric motorcycles, balance bikes for kids, parts and accessories, apparel, and related parts and services. The Harley-Davidson Financial Services segment provides wholesale financing services, such as floorplan and open account financing of motorcycles, and parts and accessories; and retail financing services, such as installment lending for the purchase of new and used Harley-Davidson motorcycles, as well as point-of-sale insurance and voluntary protection products. This segment also licenses third-party financial institutions that issue credit cards bearing the Harley-Davidson brand. Harley-Davidson, Inc. was founded in 1903 and is based in Milwaukee, Wisconsin.",2025-09-09
MULT3F,null,null,null,null,null,null,null,null,null,2025-09-09
RECT11,São Paulo,05410-002,SP,Asset Management,Brazil,Financial Services,"Rua Alves Guimarães, 1216",Pinheiros,null,2025-09-09
E2ST34,Amsterdam,1016 ED,null,Software - Application,Netherlands,Technology,Keizersgracht 281,null,"Elastic N.V., a search artificial intelligence (AI) company, provides software platforms to run in hybrid, public or private clouds, and multi-cloud environments in the United States and internationally. It primarily offers Elastic's Search AI Platform, a set of software products that ingest and store data from various sources and formats, as well as performs search, analysis, and visualization on that data. The company also provides Elastic search product a distributed, real-time vector database and analytics engine and data store for all types of data, including textual, numerical, geospatial, structured, and unstructured; Kibana, a user interface, management, and configuration interface for the platforms; Elasticsearch search platform, a platform with retrieval algorithms and the ability to integrate with large language models; and elastic security, a security solution that provides unified protection to prevent, detect, and respond to threats. In addition, it offers Elastic Observability, a solution that enables unified analysis, including Logs analytics to search and analyze petabytes of structured and unstructured logs; infrastructure monitoring to gain visibility across cloud, on-premises, Kubernetes, serverless, and hosts; Application Performance Monitoring to stream native production-grade; digital experience monitoring; and large language models. The company was incorporated in 2012 and is based in Amsterdam, the Netherlands.",2025-09-09
USIM5,Belo Horizonte,30110-044,MG,Steel,Brazil,Basic Materials,"Avenida do Contorno, 6.594",Savassi,"Usinas Siderúrgicas de Minas Gerais S.A. manufactures and markets flat steel products in Brazil and internationally. The company operates through three segments: Mining and Logistics, Steel Metallurgy, and Steel Transformation. It extracts and process iron ore, such as pellet and sinter feed and, granulated iron ore; provides storage, handling, and road cargo transportation services; and operates highway and railway cargo terminals. It also manufactures and sells steel products; manufactures and installs equipment for various industries; and transforms cold-rolled coils into hot-dip galvanized coils. In addition, the company provides technology transfer services for steel industry; project management and services for civil construction and capital goods industry; road transportation of flat steel; and texturing and chrome plating of cylinders. It serves automotive, construction, distribution, energy, white line, oil and gas, and machines and equipment markets. Usinas Siderúrgicas de Minas Gerais S.A. was founded in 1956 and is headquartered in Belo Horizonte, Brazil.",2025-09-09
VVEO3,Ribeirão Preto,14072-055,SP,Medical Distribution,Brazil,Healthcare,"Avenida Luiz Maggioni, 2727",Distrito Empresarial Pref Luiz Roberto JAbali,"CM Hospitalar S/A engages in the distribution of hospital materials and medicines in Brazil. It offers cardiac, surgical, urinary, diagnosis, sterilization, wound management, hygiene and protection, infusional, clinical nutrition, orthopedics, and respiratory materials; and medicines that comprise painkillers, anesthetics, anti-allergic products, antibiotics, antiemetics, antifungals, anti-inflammatory products, special control products, miscellaneous products, and oncology products. The company was founded in 1996 and is headquartered in Ribeirão Preto, Brazil.",2025-09-09
ZAVC11,null,null,null,REIT - Specialty,Brazil,Real Estate,null,null,null,2025-09-09
DIVS11,null,null,null,,Brazil,null,null,null,null,2025-09-09
MGLU3,Franca,null,SP,Specialty Retail,Brazil,Consumer Cyclical,"Rua Voluntários da, nº 1.465",Centro,"Magazine Luiza S.A. engages in the retail sale of consumer goods. It operates through Retail, Financial Operations, Insurance Operations, and Other Services segments. The company also grants credit and provides extended warranties for its products. In addition, it is involved in the provision of consortium management services; and e-commerce of perfumes, cosmetics, sports, and fashion products, as well as product delivery management and software development services. Further, the company provides integration, logistics, and technological solutions; and manages relation between merchants and marketplaces. The company was founded in 1957 and is headquartered in Franca, Brazil. Magazine Luiza S.A. operates as a subsidiary of LTD Administração e Participação S.A.",2025-09-09
G2ME34,Audubon,19403,PA,,United States,null,2560 General Armistead Avenue,null,"Globus Medical, Inc., a medical device company, develops and commercializes healthcare solutions for patients with musculoskeletal disorders in the United States and internationally. The company offers musculoskeletal solutions, including spine products, such as traditional fusion implants, and treatment options for motion preservation technologies, and interventional solutions to treat vertebral compression fractures; orthopedic trauma solutions, which includes fracture plating, intramedullary nailing, and regenerative biologic products; hip and knee joint solutions, including modular hip stems and acetabular cups for total hip arthroplasty, as well as posterior stabilizing and cruciate retaining knee arthroplasty implants; and neuromonitoring services, which provides onsite and remote monitoring of the neurological systems of patients undergoing spinal and brain-related surgeries. The company also offers enabling technologies, such as imaging, navigation, and robotics (INR) solutions for assisted surgery, which includes the ExcelsiusGPS platform, a robotic guidance and navigation system for minimally invasive and open procedures with screw and interbody spacer placement applications; Surgimap, a surgical planning software platform; Excelsius3D, a platform combined with ExcelsiusGPS that provides an intraoperative, image-guided robotic navigation solution; ExcelsiusHub, which provides real-time patient array monitoring, tissue sparing drills, and registration flexibility; and ExcelsiusFlex, a total knee arthroplasty robotic solution. Further, it distributes human cell, tissue, and cellular and tissue-based products. The company sells its products through direct or distributor sales representatives, as well as hip and knee products through independent sales agents. Globus Medical, Inc. was incorporated in 2003 and is headquartered in Audubon, Pennsylvania.",2025-09-09
INTU34,Mountain View,94043,CA,Software - Application,United States,Technology,2700 Coast Avenue,null,"Intuit Inc. provides financial management, compliance, and marketing products and services in the United States. The company operates in four segments: Small Business & Self-Employed, Consumer, Credit Karma, and ProTax. The Small Business & Self-Employed segment provides QuickBooks services, that includes financial and business management online services, desktop software, payroll solutions, time tracking, merchant payment processing and bill pay solutions, checking accounts, and financing services for small and mid-market businesses; and Mailchimp, a marketing automation and customer relationship management. This segment also offers QuickBooks online services and desktop software solutions comprising QuickBooks Online, QuickBooks Live, QuickBooks Online Advanced, QuickBooks Self-Employed, QuickBooks Solopreneur financial and business management offerings, QuickBooks Online Payroll QuickBooks Checking, QuickBooks Desktop software subscriptions, QuickBooks Basic Payroll, QuickBooks Assisted Payroll, and QuickBooks Enhanced Payroll. The Consumer segment provides do-it-yourself and assisted TurboTax income tax preparation products and services. The Credit Karma segment offers consumers with a personal finance platform that provides personalized recommendations of credit card, home, auto, and personal loan, and insurance product; online savings and checking accounts; and access to its credit scores and reports, credit and identity monitoring, credit report dispute, credit building tools, and tools. The ProTax segment provides Lacerte, ProSeries, and ProFile desktop tax-preparation software products; and ProConnect Tax Online bill pay tax products, electronic tax filing service, and bank products and related services. It sells products and services through direct sales channels, multi-channel shop-and-buy experiences, mobile application stores, and partner and other channels. The company was incorporated in 1984 and is headquartered in Mountain View, California.",2025-09-09
BBOV11,null,null,null,,Brazil,null,null,null,null,2025-09-09
